zone,latitude,longitude
quadronno - crocetta,45.4542738,9.1956417
farini,45.4928794,9.1751082
palestro,45.4716297,9.2021428
repubblica,45.4794372,9.1979411
morgagni,45.478049,9.212456
centrale,45.4847973,9.2032159
frua,45.4647993,9.1492753
piazzale siena,45.4650768,9.1368993
lodi - brenta,45.4429124,9.2178994
lanza,45.4718013,9.1823052
bovisa,45.5022955,9.1653444
ripamonti,45.4285187,9.2031437
cascina merlata - musocco,45.5100715,9.106849
bignami - ponale,,
buenos aires,45.477891,9.2129012
dergano,45.5025125,9.1767835
plebisciti - susa,,
paolo sarpi,45.4810279,9.1713197
brera,45.4715187,9.1877351
montenero,45.5513532,9.2090518
guastalla,45.4597571,9.198675
pasteur,45.4902857,9.2179293
piave - tricolore,,
turro,45.4978623,9.2253526
gambara,45.4649139,9.1430147
maggiolina,45.4926428,9.2009254
porta romana - medaglie d'oro,45.4522392,9.202056
giambellino,45.4491788,9.1440266
moscova,45.4770858,9.1843685
città studi,45.4781089,9.2264995
cermenate - abbiategrasso,,
porta nuova,45.4799533,9.1926001
istria,45.5016171,9.197952
rubattino,45.4773704,9.246706
barona,45.4385666,9.154712
isola,45.4896261,9.1911715
missori,45.4599554,9.1893681
monte rosa - lotto,,
solari,45.4380426,9.2048152
scala - manzoni,45.4675733,9.1901177
gallaratese,45.4984894,9.1096531
turati,45.4746191,9.1947419
corso san gottardo,45.4480952,9.1796184
carrobbio,45.4602007,9.181269
washington,45.4612061,9.1563104
sempione,45.4771041,9.1701771
quarto cagnino,45.4724405,9.1096273
parco trotter,45.4944959,9.2241994
pezzotti - meda,,
cadorna - castello,45.4683729,9.1773559
quartiere adriano,45.514532,9.2451782
udine,45.4912082,9.2370179
garibaldi - corso como,,
cenisio,45.4874537,9.172262
bisceglie,45.4553979,9.1129252
corvetto,45.4403776,9.2234375
tripoli - soderini,45.4582475,9.1467492
vincenzo monti,45.5079994,9.0974335
martini - insubria,,
porta vittoria,45.4622795,9.2071602
argonne - corsica,45.4680992,9.2319145
niguarda,45.5155078,9.1942367
molise - cuoco,45.4517958,9.2237393
arena,45.4754159,9.1814367
zara,45.4925839,9.1928456
trenno,45.4906948,9.1008233
duomo,45.4641385,9.1885548
navigli - darsena,,
porta venezia,45.4742821,9.2052265
de angeli,45.4664527,9.1495656
precotto,45.5122113,9.2257951
piazza napoli,45.4526426,9.1547842
indipendenza,45.4274509,9.3098024
san siro,45.4782003,9.123964
rovereto,45.495536,9.2194872
vigentino - fatima,45.4220405,9.2036386
corso genova,45.4568538,9.1749831
arco della pace,45.4756896,9.172424
san vittore,45.5666193,8.8896459
bocconi,45.4498835,9.1892636
vercelli - wagner,,
cadore,45.457542,9.2130036
bande nere,45.461524,9.1364657
cascina dei pomi,45.4969041,9.2085756
dezza,45.4724593,9.2008641
villa san giovanni,45.5174649,9.2261092
ticinese,45.450596,9.1819509
portello - parco vittoria,,
chiesa rossa,45.4306606,9.1725177
qt8,45.4861423,9.1371765
amendola - buonarroti,,
certosa,45.5024067,9.1287328
bicocca,45.5151365,9.2122056
pagano,45.4683019,9.161102
inganni,45.4575781,9.1222244
crescenzago,45.5094512,9.2475983
viale ungheria - mecenate,45.4456627,9.242836
santa giulia,45.436246,9.2431105
sant'ambrogio,45.4625663,9.1729177
gorla,45.5050319,9.2243422
ascanio sforza,45.4434495,9.1761933
famagosta,45.4368888,9.1681331
quartiere forlanini,45.4597687,9.2432802
greco - segnano,45.5022959,9.2121145
cimiano,45.5011666,9.2446195
casoretto,45.4885214,9.2273953
affori,45.5151242,9.1727368
quadrilatero della moda,45.4775948,9.1846483
tre castelli - faenza,,
quarto oggiaro,45.5158434,9.141206
bologna - sulmona,45.4443003,9.2251275
ghisolfa - mac mahon,,
ponte nuovo,45.4604186,8.8482093
quartiere feltre,45.4892131,9.2461182
melchiorre gioia,45.4948834,9.206843
city life,45.4833311,9.2022037
lambrate,45.4824346,9.2410536
ponte lambro,45.4428414,9.2635975
san babila,45.4666474,9.197568
baggio,45.4608805,9.0870797
lorenteggio,45.4476044,9.1314136
cantalupa - san paolo,,
gratosoglio,45.4131981,9.1727058
rogoredo,45.4319367,9.2441502
comasina,45.5281283,9.1637084
ca' granda,45.4601184,9.1953364
prato centenaro,45.5095742,9.2009127
san carlo,45.6270471,8.9435032
borgogna - largo augusto,,
primaticcio,45.4594303,9.1292549
ortica,45.4708158,9.2409345
bruzzano,45.5278175,9.1771473
